"cr2e2_cliftonstrengthsthemeid","cr2e2_domain","importsequencenumber","statuscode","statecode","cr2e2_themedescription","cr2e2_themename","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"897e4d37-fbe0-4f4a-83e0-d86ed27ebff3","383620001","","1","0","People especially talented in the Woo theme love the challenge of meeting new people and winning them over. They derive satisfaction from breaking the ice and making a connection with someone.","Woo","","","6946206","f8c31966-e00b-f011-998b-000d3ad17a2e"
"64802790-4b35-499f-9f8f-5eabd9a45a06","383620003","","1","0","People especially talented in the Strategic theme create alternative ways to proceed. Faced with any given scenario, they can quickly spot the relevant patterns and issues.","Strategic","","","6946205","f8c31966-e00b-f011-998b-000d3ad17a2e"
"49b892f3-8418-4a65-8f50-8409e0d1e850","383620001","","1","0","People especially talented in the Significance theme want to be very important in the eyes of others. They are independent and want to be recognized.","Significance","","","6946204","f8c31966-e00b-f011-998b-000d3ad17a2e"
"15846664-d3a1-4af8-8d61-836b54794271","383620001","","1","0","People especially talented in the Self-Assurance theme feel confident in their ability to manage their own lives. They possess an inner compass that gives them confidence that their decisions are right.","Self-Assurance","","","6946203","f8c31966-e00b-f011-998b-000d3ad17a2e"
"5756acbc-e91b-4fbc-b07d-927f86c67491","383620000","","1","0","People especially talented in the Restorative theme are adept at dealing with problems. They are good at figuring out what is wrong and resolving it.","Restorative","","","6946202","f8c31966-e00b-f011-998b-000d3ad17a2e"
"f63dd60d-2a69-44a7-be1b-e9a73192a723","383620000","","1","0","People especially talented in the Responsibility theme take psychological ownership of what they say they will do. They are committed to stable values such as honesty and loyalty.","Responsibility","","","6946201","f8c31966-e00b-f011-998b-000d3ad17a2e"
"3d9ca2d8-c122-46a4-9f14-0bb94b4061ba","383620002","","1","0","People especially talented in the Relator theme enjoy close relationships with others. They find deep satisfaction in working hard with friends to achieve a goal.","Relator","","","6946200","f8c31966-e00b-f011-998b-000d3ad17a2e"
"28e70059-190f-4429-9c35-9bd0bd2fcee6","383620002","","1","0","People especially talented in the Positivity theme have an enthusiasm that is contagious. They are upbeat and can get others excited about what they are going to do.","Positivity","","","6946199","f8c31966-e00b-f011-998b-000d3ad17a2e"
"b26009c9-53f3-4dcd-8cc7-0dba1a72c394","383620001","","1","0","People especially talented in the Maximizer theme focus on strengths as a way to stimulate personal and group excellence. They seek to transform something strong into something superb.","Maximizer","","","6946198","f8c31966-e00b-f011-998b-000d3ad17a2e"
"4c7f0a8d-7d8a-47eb-9637-2e47aec1e6c6","383620003","","1","0","People especially talented in the Learner theme have a great desire to learn and want to continuously improve. The process of learning, rather than the outcome, excites them.","Learner","","","6946197","f8c31966-e00b-f011-998b-000d3ad17a2e"
"acf68e82-731e-4cac-b1e8-5bcc52c33a3f","383620003","","1","0","People especially talented in the Intellection theme are characterized by their intellectual activity. They are introspective and appreciate intellectual discussions.","Intellection","","","6946196","f8c31966-e00b-f011-998b-000d3ad17a2e"
"6b2adeb7-9256-4ca6-ab27-ea7ca58777e4","383620003","","1","0","People especially talented in the Input theme have a craving to know more. Often they like to collect and archive all kinds of information.","Input","","","6946195","f8c31966-e00b-f011-998b-000d3ad17a2e"
"5eaad423-24dc-4349-897e-ecd1a5834f95","383620002","","1","0","People especially talented in the Individualization theme are intrigued with the unique qualities of each person. They have a gift for figuring out how different people can work together productively.","Individualization","","","6946194","f8c31966-e00b-f011-998b-000d3ad17a2e"
"de511659-b4ba-4c13-ad56-8ced61666895","383620002","","1","0","People especially talented in the Includer theme are accepting of others. They show awareness of those who feel left out and make an effort to include them.","Includer","","","6946193","f8c31966-e00b-f011-998b-000d3ad17a2e"
"7135407b-cd41-4954-8f4c-8e8530d715a0","383620003","","1","0","People especially talented in the Ideation theme are fascinated by ideas. They are able to find connections between seemingly disparate phenomena.","Ideation","","","6946192","f8c31966-e00b-f011-998b-000d3ad17a2e"
"152f77db-0a40-4382-bd33-57b9be38ae69","383620002","","1","0","People especially talented in the Harmony theme look for consensus. They don’t enjoy conflict; rather, they seek areas of agreement.","Harmony","","","6946191","f8c31966-e00b-f011-998b-000d3ad17a2e"
"e7ef6a67-5e1a-48cf-83a9-f7406fc2c56e","383620003","","1","0","People especially talented in the Futuristic theme are inspired by the future and what could be. They inspire others with their visions of the future.","Futuristic","","","6946190","f8c31966-e00b-f011-998b-000d3ad17a2e"
"f683ccdf-e0b9-4004-964c-b5ee23044421","383620000","","1","0","People especially talented in the Focus theme can take a direction, follow through, and make the corrections necessary to stay on track. They prioritize, then act.","Focus","","","6946189","f8c31966-e00b-f011-998b-000d3ad17a2e"
"78b5a2f4-e8e8-41a2-9e8c-844a98bdfd03","383620002","","1","0","People especially talented in the Empathy theme can sense other people’s feelings by imagining themselves in others’ lives or situations.","Empathy","","","6946188","f8c31966-e00b-f011-998b-000d3ad17a2e"
"e2652b90-eea7-4819-b62e-92e73cf8d47d","383620000","","1","0","People especially talented in the Discipline theme enjoy routine and structure. Their world is best described by the order they create.","Discipline","","","6946187","f8c31966-e00b-f011-998b-000d3ad17a2e"
"366a2fc9-3f08-41c7-a92e-412333553388","383620002","","1","0","People especially talented in the Developer theme recognize and cultivate the potential in others. They spot the signs of each small improvement and derive satisfaction from these improvements.","Developer","","","6946186","f8c31966-e00b-f011-998b-000d3ad17a2e"
"ae4ff0a8-04b7-44a6-8341-132c25492187","383620000","","1","0","People especially talented in the Deliberative theme are best described by the serious care they take in making decisions or choices. They anticipate obstacles.","Deliberative","","","6946185","f8c31966-e00b-f011-998b-000d3ad17a2e"
"d9d3465a-c26f-475f-8d1c-aec18b6b53aa","383620003","","1","0","People especially talented in the Context theme enjoy thinking about the past. They understand the present by researching its history.","Context","","","6946184","f8c31966-e00b-f011-998b-000d3ad17a2e"
"b241753c-02b0-4739-9783-1840640c4bf5","383620000","","1","0","People especially talented in the Consistency theme are keenly aware of the need to treat people the same. They try to treat everyone in the world with consistency by setting up clear rules and adhering to them.","Consistency","","","6946183","f8c31966-e00b-f011-998b-000d3ad17a2e"
"f68b0953-6fde-45a6-96de-247e7cbc376a","383620002","","1","0","People especially talented in the Connectedness theme have faith in the links among all things. They believe there are few coincidences and that almost every event has a reason.","Connectedness","","","6946182","f8c31966-e00b-f011-998b-000d3ad17a2e"
"724b6c1c-cba8-4904-91a8-f043e49fc324","383620001","","1","0","People especially talented in the Competition theme measure their progress against the performance of others. They strive to win first place and revel in contests.","Competition","","","6946181","f8c31966-e00b-f011-998b-000d3ad17a2e"
"bfe16eac-95f4-420e-a12c-32acf3b101f1","383620001","","1","0","People especially talented in the Communication theme generally find it easy to put their thoughts into words. They are good conversationalists and presenters.","Communication","","","6946180","f8c31966-e00b-f011-998b-000d3ad17a2e"
"67f4e0d9-cfaa-4a45-a077-9b4f3bd5a15b","383620001","","1","0","People especially talented in the Command theme have presence. They can take control of a situation and make decisions.","Command","","","6946179","f8c31966-e00b-f011-998b-000d3ad17a2e"
"53269ecb-c2a2-4396-9e19-e19d27354d38","383620000","","1","0","People especially talented in the Belief theme have certain core values that are unchanging. Out of these values emerges a defined purpose for their life.","Belief","","","6946178","f8c31966-e00b-f011-998b-000d3ad17a2e"
"c9590ee1-41e9-4c0c-a56d-655848e71939","383620000","","1","0","People especially talented in the Arranger theme can organize, but they also have a flexibility that complements this ability. They like to figure out how all of the pieces and resources can be arranged for maximum productivity.","Arranger","","","6946177","f8c31966-e00b-f011-998b-000d3ad17a2e"
"ba0d92e3-4d0d-48b3-931f-b80ab7874938","383620003","","1","0","People especially talented in the Analytical theme search for reasons and causes. They have the ability to think about all the factors that might affect a situation.","Analytical","","","6946176","f8c31966-e00b-f011-998b-000d3ad17a2e"
"dc7a5fea-d125-4ce4-9b8b-1c05ab695adc","383620002","","1","0","People especially talented in the Adaptability theme prefer to go with the flow. They tend to be 'now' people who take things as they come and discover the future one day at a time.","Adaptability","","","6946175","f8c31966-e00b-f011-998b-000d3ad17a2e"
"06602125-88f0-442f-a772-1da6c88a7352","383620001","","1","0","People especially talented in the Activator theme can make things happen by turning thoughts into action. They are often impatient.","Activator","","","6946174","f8c31966-e00b-f011-998b-000d3ad17a2e"
"24afe616-be94-4d9e-84ac-3df621d0b185","383620000","","1","0","People especially talented in the Achiever theme have a great deal of stamina and work hard. They take great satisfaction from being busy and productive.","Achiever","","","6946173","f8c31966-e00b-f011-998b-000d3ad17a2e"
